Source,Target,source_ideology,target_ideology
10061,10047,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10062,10047,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10063,10047,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10064,10047,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10065,10047,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10066,10047,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10067,10047,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10074,10047,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10599,10047,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
7098,10048,White Supremacist/Xenophobic,White Supremacist/Xenophobic
9900,10048,White Supremacist/Xenophobic,White Supremacist/Xenophobic
1007,1005,Jihadist,Jihadist
5187,1005,Jihadist,Jihadist
10051,10050,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10410,10050,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10592,10059,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
1005,1006,Jihadist,Jihadist
1007,1006,Jihadist,Jihadist
5187,1006,Jihadist,Jihadist
10064,10060,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10065,10060,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10066,10060,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10067,10060,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10599,10060,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10060,10061,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10062,10061,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10064,10061,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10065,10061,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10066,10061,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10067,10061,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10599,10061,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10060,10062,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10064,10062,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10065,10062,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10066,10062,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10067,10062,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10599,10062,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10060,10063,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10061,10063,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10062,10063,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10064,10063,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10065,10063,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10066,10063,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10067,10063,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10599,10063,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10066,10064,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10599,10064,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10064,10065,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10066,10065,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10324,10065,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10599,10065,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10599,10066,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10064,10067,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10065,10067,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10066,10067,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10599,10067,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10047,10068,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10060,10068,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10061,10068,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10062,10068,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10063,10068,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10064,10068,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10065,10068,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10066,10068,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10067,10068,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10070,10068,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10071,10068,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10074,10068,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10599,10068,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10047,10069,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10060,10069,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10061,10069,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10062,10069,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10063,10069,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10064,10069,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10065,10069,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10066,10069,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10067,10069,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10068,10069,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10070,10069,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10071,10069,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10074,10069,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10599,10069,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10047,10070,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10060,10070,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10061,10070,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10062,10070,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10063,10070,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10064,10070,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10065,10070,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10066,10070,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10067,10070,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10071,10070,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10074,10070,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10599,10070,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10047,10071,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10060,10071,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10061,10071,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10062,10071,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10063,10071,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10064,10071,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10065,10071,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10066,10071,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10067,10071,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10074,10071,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10599,10071,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10060,10074,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10061,10074,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10062,10074,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10063,10074,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10064,10074,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10065,10074,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10066,10074,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10067,10074,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10599,10074,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10081,10082,Conspiracy Theory,Conspiracy Theory
10050,10083,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10051,10083,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10410,10083,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10584,10083,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
9998,10083,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10085,10084,Jihadist,Jihadist
12160,10084,Jihadist,Jihadist
12160,10085,Jihadist,Jihadist
10087,10086,White Supremacist/Xenophobic,White Supremacist/Xenophobic
1005,1009,Jihadist,Jihadist
1006,1009,Jihadist,Jihadist
9006,1009,Jihadist,Jihadist
10100,10091,Militia/Sovereign Citizen/Anti-Government,White Supremacist/Xenophobic
10396,10091,Militia/Sovereign Citizen/Anti-Government,White Supremacist/Xenophobic
12042,10091,White Supremacist/Xenophobic,White Supremacist/Xenophobic
7754,10091,White Supremacist/Xenophobic,White Supremacist/Xenophobic
12086,10091,Conspiracy Theory,White Supremacist/Xenophobic
10304,10092,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10092,10093,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10304,10093,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10092,10094,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10093,10094,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10304,10094,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10092,10095,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10093,10095,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10094,10095,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10304,10095,White Supremacist/Xenophobic,White Supremacist/Xenophobic
1000,1010,Jihadist,Jihadist
10099,10100,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10050,10102,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10051,10102,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
9998,10102,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10106,10107,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10108,10109,Black Nationalist/Separatist,Black Nationalist/Separatist
10111,10112,Anarchist/Anti-Capitalist,Anarchist/Anti-Capitalist
10111,10113,Anarchist/Anti-Capitalist,Anarchist/Anti-Capitalist
10112,10113,Anarchist/Anti-Capitalist,Anarchist/Anti-Capitalist
10111,10114,Anarchist/Anti-Capitalist,Anarchist/Anti-Capitalist
10112,10114,Anarchist/Anti-Capitalist,Anarchist/Anti-Capitalist
10113,10114,Anarchist/Anti-Capitalist,Anarchist/Anti-Capitalist
10118,10119,Environmental/Animal Rights,Environmental/Animal Rights
7545,10120,Jihadist,Jihadist
10120,10121,Jihadist,Jihadist
7545,10121,Jihadist,Jihadist
1190,10122,White Supremacist/Xenophobic,White Supremacist/Xenophobic
7828,10123,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
7413,10124,Environmental/Animal Rights,Environmental/Animal Rights
7810,10124,Environmental/Animal Rights,Environmental/Animal Rights
7558,10125,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10132,10131,Conspiracy Theory,Conspiracy Theory
1013,1014,Jihadist,Jihadist
12610,10143,Conspiracy Theory,Conspiracy Theory
10327,10145,Conspiracy Theory,Conspiracy Theory
10613,10145,White Supremacist/Xenophobic,Conspiracy Theory
1013,1015,Jihadist,Jihadist
1014,1015,Jihadist,Jihadist
5854,1015,Jihadist,Jihadist
10156,10157,Conspiracy Theory,Conspiracy Theory
1013,1016,Jihadist,Jihadist
1014,1016,Jihadist,Jihadist
1015,1016,Jihadist,Jihadist
5854,1016,Jihadist,Jihadist
3050,10162,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
1964,10163,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
1996,10163,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
2009,10163,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
2080,10163,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
2261,10163,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
2293,10163,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
2328,10163,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
6050,10163,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
6342,10163,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
6343,10163,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
6345,10163,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
6351,10163,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
6352,10163,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
6353,10163,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
6354,10163,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
6356,10163,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
6881,10163,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
6882,10163,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10091,10165,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10217,10165,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10309,10165,White Supremacist/Xenophobic,White Supremacist/Xenophobic
12608,10167,Conspiracy Theory,Conspiracy Theory
1013,1017,Jihadist,Jihadist
1014,1017,Jihadist,Jihadist
1015,1017,Jihadist,Jihadist
1016,1017,Jihadist,Jihadist
5854,1017,Jihadist,Jihadist
10127,10170,Conspiracy Theory,Militia/Sovereign Citizen/Anti-Government
10046,10173,Conspiracy Theory,Conspiracy Theory
10159,10173,Conspiracy Theory,Conspiracy Theory
1013,1018,Jihadist,Jihadist
1014,1018,Jihadist,Jihadist
1015,1018,Jihadist,Jihadist
1016,1018,Jihadist,Jihadist
1017,1018,Jihadist,Jihadist
5854,1018,Jihadist,Jihadist
10091,10181,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10165,10181,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10217,10181,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10309,10181,White Supremacist/Xenophobic,White Supremacist/Xenophobic
12615,10181,White Supremacist/Xenophobic,White Supremacist/Xenophobic
12621,10181,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10231,10188,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10250,10188,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10391,10188,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10397,10188,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10500,10188,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10719,10188,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
3756,10188,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
2012,1019,Jihadist,Jihadist
2042,1019,Jihadist,Jihadist
10188,10195,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10231,10195,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10250,10195,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10397,10195,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10719,10195,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10091,10199,White Supremacist/Xenophobic,White Supremacist/Xenophobic
1021,1020,Jihadist,Jihadist
1022,1020,Jihadist,Jihadist
1144,1020,Jihadist,Jihadist
10205,10204,Militia/Sovereign Citizen/Anti-Government,Conspiracy Theory
10188,10206,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10195,10206,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10231,10206,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10250,10206,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10390,10206,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10397,10206,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10500,10206,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10604,10206,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10719,10206,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
3756,10206,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10188,10207,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10195,10207,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10206,10207,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10231,10207,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10250,10207,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10280,10207,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10391,10207,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10397,10207,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10500,10207,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10604,10207,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10719,10207,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
3756,10207,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10194,10209,White Supremacist/Xenophobic,White Supremacist/Xenophobic
1029,1021,Jihadist,Jihadist
1031,1021,Jihadist,Jihadist
10091,10217,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10201,10217,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10091,10218,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10165,10218,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10181,10218,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10217,10218,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10619,10218,White Supremacist/Xenophobic,White Supremacist/Xenophobic
1021,1022,Jihadist,Jihadist
1029,1022,Jihadist,Jihadist
1031,1022,Jihadist,Jihadist
1097,1022,Jihadist,Jihadist
10887,10223,White Supremacist/Xenophobic,White Supremacist/Xenophobic
12001,10223,White Supremacist/Xenophobic,White Supremacist/Xenophobic
7754,10223,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10188,10229,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10195,10229,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10206,10229,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10207,10229,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10231,10229,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10250,10229,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10391,10229,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10397,10229,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10500,10229,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10604,10229,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10719,10229,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
3756,10229,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
1020,1023,Jihadist,Jihadist
1021,1023,Jihadist,Jihadist
1022,1023,Jihadist,Jihadist
1029,1023,Jihadist,Jihadist
1031,1023,Jihadist,Jihadist
10719,10231,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
1020,1024,Jihadist,Jihadist
1021,1024,Jihadist,Jihadist
1022,1024,Jihadist,Jihadist
1023,1024,Jihadist,Jihadist
1029,1024,Jihadist,Jihadist
1031,1024,Jihadist,Jihadist
10591,10243,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
12037,10243,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10091,10247,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10165,10247,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10181,10247,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10217,10247,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10218,10247,White Supremacist/Xenophobic,White Supremacist/Xenophobic
7408,10247,White Supremacist/Xenophobic,White Supremacist/Xenophobic
1020,1025,Jihadist,Jihadist
1021,1025,Jihadist,Jihadist
1022,1025,Jihadist,Jihadist
1023,1025,Jihadist,Jihadist
1024,1025,Jihadist,Jihadist
1029,1025,Jihadist,Jihadist
1031,1025,Jihadist,Jihadist
10397,10250,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10719,10250,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10349,10254,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
10350,10254,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
